N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"73,900",500,+0.68%,100,"4,411,669","5,969,783",53.83,"2,729,464",15.71,17.07,
2,SK하이닉스,"140,000","1,800",+1.30%,"5,000","1,019,203","728,002",52.98,"670,928",-8.88,3.56,
5,삼성전자우,"59,300",700,+1.19%,100,"487,972","822,887",72.83,"304,322",12.61,N/A,
7,현대차,"197,500","5,300",+2.76%,"5,000","417,775","211,532",33.27,"239,185",4.75,9.36,
8,기아,"91,500","2,200",+2.46%,"5,000","367,870","402,044",38.90,"523,902",4.02,14.57,
11,삼성SDI,"456,000","5,500",+1.22%,"5,000","313,566","68,765",44.62,"78,853",15.18,12.52,
14,삼성물산,"129,000",700,+0.55%,100,"239,413","185,592",19.66,"38,714",10.53,7.16,
16,KB금융,"52,700",700,+1.35%,"5,000","212,650","403,511",72.15,"254,554",4.52,9.17,
17,현대모비스,"226,000","2,500",+1.12%,"5,000","211,661","93,655",38.65,"30,254",6.24,6.80,
18,신한지주,"39,000",550,+1.43%,"5,000","201,047","515,504",60.16,"161,869",4.93,9.70,
20,삼성생명,"71,000",600,+0.85%,500,"142,000","200,000",16.94,"28,507",5.68,5.73,
21,SK이노베이션,"139,100",300,+0.22%,"5,000","140,012","100,656",21.59,"75,594",-56.32,8.49,
23,LG,"86,500",500,+0.58%,"5,000","136,065","157,301",36.21,"44,813",13.04,8.48,
24,HMM,"19,000",570,+3.09%,"5,000","130,918","689,039",9.13,"5,887,613",4.38,64.98,
25,SK,"178,000","2,300",+1.31%,200,"130,293","73,198",22.93,"22,698",-16.66,5.13,
26,삼성에스디에스,"167,900","1,200",+0.72%,500,"129,917","77,378",16.41,"14,798",16.33,14.23,
28,하나금융지주,"42,650",450,+1.07%,"5,000","124,690","292,357",68.77,"118,638",3.42,10.06,
29,KT&G,"91,400",200,+0.22%,"5,000","122,314","133,822",42.53,"23,151",17.12,11.00,
30,삼성화재,"255,500","3,500",+1.39%,500,"121,043","47,375",53.53,"10,540",7.09,9.70,
31,한국전력,"18,760",130,+0.70%,"5,000","120,432","641,964",14.05,"194,867",-0.87,-46.91,
32,메리츠금융지주,"57,100",100,+0.18%,500,"116,125","203,372",17.34,"45,928",5.28,30.32,
34,SK텔레콤,"49,950",50,+0.10%,100,"109,307","218,833",41.13,"88,840",9.67,7.97,
